#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Solyc04g009660.2.1   -          MEME_alignment       -            2.6e-11   44.0   0.8   1.2e-10   41.8   0.4   2.6   2   0   0   2   2   1   1 Cc-nbs-lrr, resistance protein
Solyc09g059720.1.1   -          MEME_alignment       -                2.2    9.5   0.1       3.5    8.8   0.1   1.4   1   0   0   1   1   1   0 Ribose-5-phosphate isomerase  IPR004788  Ribose 5-phosphate isomerase
Solyc03g032020.2.1   -          MEME_alignment       -                2.2    9.5   0.0       6.2    8.1   0.0   1.8   1   0   0   1   1   1   0 Hydroxy-methylglutaryl-coenzyme A reductase  IPR002202  Hydroxymethylglutaryl-CoA reductase, class I_II, catalytic
Solyc02g038740.2.1   -          MEME_alignment       -                2.3    9.4   0.0         7    7.9   0.0   1.9   1   0   0   1   1   1   0 3-hydroxy-3-methylglutaryl coenzyme A reductase  IPR004554  Hydroxymethylglutaryl-CoA reductase, class I, catalytic
Solyc01g091660.2.1   -          MEME_alignment       -                2.9    9.1   0.0       8.5    7.6   0.0   1.8   1   0   0   1   1   1   0 Alcohol dehydrogenase (Fragment)  IPR002347  Glucose_ribitol dehydrogenase
Solyc08g076000.2.1   -          MEME_alignment       -                3.1    9.0   0.2       8.6    7.6   0.2   1.8   1   0   0   1   1   1   0 Cc-nbs-lrr, resistance protein
Solyc01g091900.2.1   -          MEME_alignment       -                3.4    8.9   0.3        13    7.0   0.3   2.1   1   0   0   1   1   1   0 Peroxisomal membrane protein PEX16  IPR013919  Peroxisome membrane protein, Pex16
Solyc04g008730.2.1   -          MEME_alignment       -                3.5    8.9   0.0         8    7.7   0.0   1.6   1   0   0   1   1   1   0 Alpha-galactosidase 1  IPR013785  Aldolase-type TIM barrel
Solyc09g091010.2.1   -          MEME_alignment       -                3.7    8.8   0.0       7.6    7.8   0.0   1.6   1   0   0   1   1   1   0 Unknown Protein
Solyc07g064480.1.1   -          MEME_alignment       -                4.1    8.6   0.1        17    6.6   0.0   2.1   2   0   0   2   2   1   0 DTW domain-containing protein  IPR005636  DTW
Solyc04g016240.2.1   -          MEME_alignment       -                4.8    8.4   0.0        18    6.6   0.0   2.1   1   0   0   1   1   1   0 Nuclear pore complex protein Nup93-like protein  IPR007231  Nucleoporin interacting component Nup93_Nic96
Solyc12g044630.1.1   -          MEME_alignment       -                4.8    8.4   0.0         8    7.7   0.0   1.4   1   0   0   1   1   1   0 Profilin  IPR005455  Profilin, plant
Solyc09g009440.1.1   -          MEME_alignment       -                  5    8.3   0.0        22    6.4   0.0   2.0   2   0   0   2   2   2   0 Iron-sulfur assembly protein IscA-like 1, mitochondrial  IPR000361  FeS cluster biogenesis
Solyc10g008220.2.1   -          MEME_alignment       -                5.8    8.2   0.2        28    6.0   0.0   2.3   2   0   0   2   2   1   0 Cc-nbs-lrr, resistance protein
Solyc02g014170.2.1   -          MEME_alignment       -                6.2    8.1   0.1        17    6.7   0.1   1.8   1   0   0   1   1   1   0 Baculoviral IAP repeat-containing 2  IPR018957  Zinc finger, C3HC4 RING-type
Solyc02g066970.1.1   -          MEME_alignment       -                8.5    7.6   0.3        16    6.8   0.3   1.4   1   0   0   1   1   1   0 Unknown Protein  IPR001092  Basic helix-loop-helix dimerisation region bHLH
Solyc01g099770.2.1   -          MEME_alignment       -                8.5    7.6   0.0        20    6.5   0.0   1.7   1   0   0   1   1   1   0 Translationally-controlled tumor protein homolog  IPR001983  Translationally controlled tumour-associated TCTP
Solyc01g086810.2.1   -          MEME_alignment       -                8.8    7.6   0.1        36    5.6   0.1   2.2   1   0   0   1   1   1   0 Cc-nbs-lrr, resistance protein
Solyc10g054350.1.1   -          MEME_alignment       -                  9    7.6   0.0   3.5e+02    2.6   0.0   2.7   2   0   0   2   2   2   0 Cc-nbs-lrr resistance protein
Solyc09g064610.2.1   -          MEME_alignment       -                9.9    7.4   0.0        34    5.7   0.0   2.0   1   0   0   1   1   1   0 Cc-nbs-lrr, resistance protein
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      MADA.hmm
# Target file:     ITAG2.4_proteins.fasta
# Option settings: hmmsearch -o Tomato_MADA_hmmsearch --tblout Tomato_MADA.hmmsearch.tsv --max MADA.hmm ITAG2.4_proteins.fasta 
# Current dir:     /mnt/c/Users/toshi/Desktop/workspace/MADA_protocol/data
# Date:            Mon Jan 22 14:01:34 2024
# [ok]
